"","GSM21203","GSM21204","GSM21205","GSM21206","GSM21207","GSM21208","GSM21209","GSM21210","GSM21211","GSM21212","GSM21213","GSM21214","GSM21215","GSM21216","GSM21217","GSM21218","GSM21219","GSM21220","GSM21221","GSM21222","GSM21223","GSM21224","GSM21225","GSM21226","GSM21227","GSM21228","GSM21229","GSM21230","GSM21231","GSM21232","GSM21233"
"1007_s_at",6141.2,4897,6608,4533.3,9341.1,5003.2,8999.6,4975.4,4613.5,8013.1,7905.5,4256.5,2735,3518.7,3746,3317,5689,4192.1,3048.6,4864.8,5584.5,5192.6,4564.7,4723.8,4279.9,5368.8,3646.4,6217.2,4662.9,5801.2,4235.7
"1053_at",105.5,15.6,19.5,145,23.3,6.1,26.3,88.9,110.6,74.9,27.7,26.9,42.7,87.9,26.1,138.9,77.6,86.2,129.4,147.7,67.6,116.4,153.2,48.4,81.2,112,66.2,56.4,111.3,34.3,89.1
"117_at",92,114.2,363.4,6045.3,262.5,240.7,204.5,45.5,186.6,170.3,77.6,70.3,161.3,128.6,153.6,381.2,248.8,894.1,98.2,188.5,217.2,188.5,166.1,233.7,223.2,179.5,172.9,184.1,86.6,328,59.2
"121_at",1105.5,1475.3,2273.9,1237.8,2538.4,2055.6,1843.8,1325.4,941.9,1565,2258.2,1309.6,1272.3,1229.2,979.6,917.4,1291.9,1176.9,1242.9,1724.3,1351.4,1199.5,938.6,1659.7,825.8,1514,1287.7,1313.1,1398,1631.5,1641
"1255_g_at",221.4,156.7,316.9,77.4,134,202.4,179.7,152.1,196.7,188.8,232.7,102.7,312.7,404.2,444.6,97.5,206.4,189.8,197.5,125.7,105.4,85.7,149.2,137.1,169.5,176.3,84,165.3,120.2,142,132.2
"1294_at",493.6,439.9,1025.1,178.6,450.1,419.3,490,365,529.4,588.2,532.8,329.1,320.8,271.4,319.9,297,470.8,240.2,285.1,385.8,393.5,310.8,360.9,542.2,444.9,308.2,303.5,460.2,526.9,707.5,450.9
"1316_at",363.9,225.5,269.7,236.3,265.1,401.4,224.6,120.1,190.6,178.4,348.2,249.1,135.9,121.2,307.3,172.6,166.8,103.6,158.3,185.5,269.8,151,189.7,190.1,182.5,168,150.5,244.4,162.7,194.6,242.6
"1320_at",24.4,60.4,22.5,113.8,47.2,35,24.8,16.9,18.5,71,38.1,21,12.7,12.5,11.3,15.1,23.6,32.8,17.4,21.5,16.1,56.9,15.4,25.1,27.4,16.4,16.1,35.5,20.5,27.9,23.3
"1405_i_at",27.8,11.9,38.4,9.9,15.1,26.7,15,7.2,18.5,57.3,15.5,11,20.7,8.6,4.3,8.7,5.6,16.3,5.9,13.5,18.4,112,15,67.8,15.3,11,6.4,12,12.3,14,9.5
"1431_at",95.3,118.2,66.1,81.4,156.2,142.5,128,130,146.5,113.7,149,116.2,104.3,109,115.2,139.3,136.9,116.7,82.6,99,117.2,45.3,111.7,161.3,171.3,153.2,108.3,95.5,69.2,115,107.7
"1438_at",34.1,40.7,54.5,146.4,48.7,105.6,53.8,60.8,36.2,102.6,97,143.1,33.2,96.5,31,123.6,114.8,117.1,147.1,49,189.4,21.8,79.2,161.2,39.7,34.3,123.3,35.6,137.2,45.9,86.8
