,Gene
0,APLNR
1,PRLH
2,SST
3,PNOC
4,P2RY14
5,GALR2
6,AVPR2
7,ATP6V1G2
8,DOCK3
9,JPH3
10,TFDP3
11,BAIAP2L2
12,LMNB1
13,CABP1
14,VSNL1
15,CACNA1E
16,CACNG3
17,GRIA1
18,CCK
19,TAC1
20,GAD1
21,CNR1
22,PTK7
23,CCNB2
24,PLK2
25,NUP93
26,E2F2
27,INCENP
28,PRC1
29,CENPA
30,CD38
31,CD72
32,FOLH1
33,KLRB1
34,CD79B
35,SELE
36,FCGR1A
37,CD3D
38,CRTAM
39,SIT1
40,LILRA4
41,GRAP
42,IGHD
43,CDH13
44,HP
45,TUBB3
46,EMC10
47,LTB4R
48,CITED1
49,RBL1
50,CNTLN
51,EPB41
52,COL4A1
53,COL5A2
54,F10
55,COMP
56,TTR
57,EPYC
58,CPB1
59,CPB2
60,LTF
61,GC
62,HPR
63,F9
64,CRLF2
65,IFNA8
66,CXCR2
67,CYP27B1
68,CYP2D6
69,CYP4F3
70,CYP4F2
71,SLC47A1
72,CYP3A7
73,CYP4F12
74,DDC
75,GOT1
76,SYT1
77,DOK2
78,ELAVL2
79,ERMAP
80,SLC14A1
81,HPRT1
82,FGF20
83,GLI1
84,FOLR3
85,MCTP1
86,FOXO4
87,STMN2
88,NEFL
89,GCK
90,SI
91,ONECUT1
92,GDAP1
93,PRX
94,RAB23
95,GLRA1
96,GLRB
97,SYNGR3
98,GPR22
99,NETO2
100,GTF2H3
101,RPA3
102,POLR2J
103,POLR2J2
104,POLR2J3
105,HBE1
106,HHLA2
107,KIR3DL1
108,HOXB1
109,HOXB9
110,PAGR1
111,ROBO3
112,PDE9A
113,KIFC3
114,LRAT
115,RBP3
116,LRIT1
117,SCGB2A1
118,MPV17
119,MRPS16
120,MRPS15
121,RPS4Y1
122,RSRC1
123,NELL1
124,PDC
125,RAD21L1
126,TOP3B
127,RPA4
128,VCY1B
129,VCY
130,USP9Y
131,TSSC4
132,STON1
