,node1,node2
0,BDNF,EGR1
1,BDNF,NPTX2
2,BDNF,HTR2C
3,BDNF,SST
4,BDNF,NEUROD6
5,BDNF,CHAT
6,BDNF,GRM8
7,BDNF,VIP
8,BDNF,CNR1
9,BDNF,JUN
10,BDNF,GLP1R
11,BDNF,PRKACG
12,BDNF,PENK
13,EGR1,BTG2
14,EGR1,PRKACG
15,EGR1,JUN
16,NPTX2,PENK
17,HTR2C,CYP3A4
18,SST,CHAT
19,SST,CNR1
20,SST,GLP1R
21,SST,PENK
22,SST,PRKACG
23,SST,SSTR1
24,SST,VIP
25,CHAT,VIP
26,VIP,GLP1R
27,VIP,PENK
28,VIP,PRKACG
29,CNR1,PENK
30,CNR1,PRKACG
31,CNR1,GLP1R
32,JUN,BTG2
33,JUN,MYCN
34,JUN,SH3RF1
35,JUN,PRKACG
36,GLP1R,PRKACG
37,PRKACG,OR10K1
38,PRKACG,OR1S2
39,PRKACG,OR51A7
40,PRKACG,OR7A17
41,PRKACG,OR7G2
42,PRKACG,OR8H3
43,PRKACG,OR8S1
44,PENK,NECAB2
45,PENK,SSTR1
46,CYP26A1,CYP3A4
47,CYP3A4,GSTA5
48,NECAB1,NECAB2
