node,lap_barcode_0.15,lap_lamda_0.15,lap_sum_0.15,lap_sum_norm_0.15,lap_barcode_0.4,lap_lamda_0.4,lap_sum_0.4,lap_sum_norm_0.4,lap_barcode_0.7,lap_lamda_0.7,lap_sum_0.7,lap_sum_norm_0.7,lap_barcode_0.9,lap_lamda_0.9,lap_sum_0.9,lap_sum_norm_0.9
SNORD115-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM104B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL13RA2,1.0,2.003603689130135,2.239291794986953,0.6077359292106876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD116-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORA19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD115-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCTD4,1.0,4.412241050847575,4.52414313332199,0.8007082682332807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR2C,1.7320508075688772,9.72885155119036,9.881829410847928,1.554041208994922,1.0,2.018470644939151,2.25260376996956,0.6062319255261213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMA3D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLRA2,2.23606797749979,7.958360679845416,8.266529181616042,1.6375984610984222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB3B,1.0,2.003603689130135,2.239291794986953,0.6077359292106876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDYN,2.0,7.006132068475084,7.286006214718387,1.455736134489367,1.4142135623730951,4.228982950905658,4.45918118033465,0.9656215397971462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROS1,1.0,9.379119108995726,9.432278370612734,1.1986386880443485,1.0,7.957797836419956,8.020383183198302,1.0741415747629235,1.0,8.18848906775948,8.249324409478422,1.0882669289682825,0.0,0.0,0.0,0.0
LRIG3,1.0,10.506132325050288,10.553616272703238,1.28893139041128,1.0,11.050809380159908,11.095962687240354,1.3178139470465442,1.0,11.142803758576942,11.1875857807731,1.3195517563633288,0.0,0.0,0.0,0.0
SLC34A2,2.23606797749979,12.48177523222869,12.680485517040646,2.0,2.23606797749979,12.693320604027544,12.888769838763906,2.0,2.23606797749979,12.773491128198131,12.967732091701942,2.0,0.0,0.0,0.0,0.0
ROS1,1.0,9.379119108995722,9.432278370612728,1.1986386880443485,1.0,7.957797836419956,8.020383183198302,1.0741415747629235,1.0,8.18848906775948,8.249324409478422,1.0882669289682825,0.0,0.0,0.0,0.0
GABRQ,1.0,4.488884366816895,4.598921923522198,0.8068486861260354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTM1,1.0,1.867840271604524,2.118685271631363,0.5968589974441981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVALB,1.4142135623730951,11.229518464600613,11.318219159691424,1.5321287159895385,1.0,3.197239992591637,3.349976652191381,0.6990972508751452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
