"Gene symbol","GSM96454","GSM96455","GSM96456","GSM96457","GSM96458","GSM96459","GSM96461","GSM96462","GSM96463","GSM96464","GSM96466","GSM96467","GSM96468","GSM96469","GSM96470","GSM96471","GSM96472","GSM96473","GSM96474","GSM96475","GSM96476","GSM96477","GSM96478","GSM96479","GSM96480","GSM96481","GSM96482","GSM96483"
"A4GALT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355026,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",2.620077,4.127163,3.900376,3.61973,3.167256,3.094823,3.843802,5.38663,3.095022,4.029012,4.776269,3.480267,4.860483,3.229745,6.045262,4.938709,5.028752,6.207843,6.663954,4.005714,4.774207,5.495735,6.30266,5.942079,4.883272,6.84876,3.674493,4.450146
"AAK1",1.080584,4.215002,2.121793,1.955885,1.497934,1.575286,1.043268,1.445598,1.481932,2.25114,1.620749,1.728601,1.771781,1.827259,3.516723,4.5558,2.317689,3.191991,3.704265,3.41113,1.63054,2.905992,3.639753,2.615095,3.353391,2.98743,2.926973,3.410224
"AAMDC",1.096274,3.8097905,1.0230445,1.1600685,2.5442065,2.5094315,1.744824,2.40151,2.929574,1.812408,1.155978,2.52793,1.7306475,2.778645,1.844933,1.449616,0.3301395,1.8907505,0.144761,1.653953,1.9788985,1.932678,2.7411755,1.8158275,2.155921,2.7501455,1.24934,2.9556735
"AAR2",0.5272735,0.2829125,0.5278225,0.5075365,0.47755,0.4395165,0.5256355,0.6727295,0.344044,0.6323895,0.3677815,1.5219555,0.4780675,0.5034945,0.6164885,0.7738485,0.876296,0.7744795,0.159985,0.3186655,0.324556,0.565454,0.5829455,0.462196,0.441741,0.308593,0.328576,0.1593515
"AASDH",0.003545,0,0.284407,0,0.059586,1.495506,0.126966,0.107121,0,0.060843,0.140467,0.063663,0.145682,0,0.27891,0.358028,1.109348,0.049582,0.616252,0,0.178379,0.014825,0,0.217763,0,0,0,0
"AASDHPPT",0.0686815,0,0,0,0.112204,0.046859,0,0.055881,0.1284,0,0,0,0,0,0,0,0,0,0,0,1.5471365,0,0,0,0,0,0,0.0162995
"AATF",3.395893,3.295886,5.231035,4.989459,4.639565,4.833816,6.092721,7.761661,4.13073,5.858283,6.631336,5.280825,5.877339,4.548962,7.997799,4.944183,6.061032,7.567119,9.328277,4.620127,4.401023,6.693103,5.280576,6.726168,5.649859,5.535924,4.197213,5.282996
"ABAT",0.1774405,0.37068,0.83889,0.6344185,0.533264,0.736761,0.594701,0.728942,0.283893,0.854466,0.708143,0.741344,0.823179,0.65384,0.760842,0.371516,0.249401,0.706436,0.932097,0.5902285,0.366679,1.124624,0.5534005,0.4631875,0.577629,0.8713375,0.6539645,0.4581495
"ABCB6",0.261224,0.623038,3.925065,1.979266,4.520955,1.790516,2.300222,2.016198,0.980718,2.124036,1.406823,5.389868,1.119734,3.552608,3.049257,3.390774,0.115794,1.385638,0.528474,1.416955,0.864331,1.333217,1.087081,0.878084,0.380654,1.453637,0.691026,0.668065
"ABCB7",0.886537,0.162198,0.556621,0.394211,0.427974,0.471778,0.196184,0.821193,0.687476,0.662641,0.498512,0.633301,0.491359,0.507432,0.465934,0.029475,0.640224,0.655732,0.308902,0.341092,0.718627,0.295001,0.620365,0.78933,0.450977,0.797988,2.069282,0.45615
"ABCB9",0,0,0,0,0.045792,0,0.340005,0.218272,1.090581,0,0,0.190707,0.130367,0.179583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
