#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTG1	PFN1	9606.ENSP00000458162	9606.ENSP00000225655	0	0	0	0	0.252	0.301	0.900	0.871	0.992
AGT	CTSD	9606.ENSP00000355627	9606.ENSP00000236671	0	0	0	0	0.052	0	0.750	0.648	0.909
ATP6V0C	ATP6V0D1	9606.ENSP00000329757	9606.ENSP00000290949	0.086	0	0	0	0.676	0.992	0.935	0.842	0.999
KRR1	NIP7	9606.ENSP00000229214	9606.ENSP00000254940	0	0	0	0	0.886	0.131	0.400	0.091	0.938
KRR1	RPS12	9606.ENSP00000229214	9606.ENSP00000230050	0	0	0	0	0.205	0.950	0	0.120	0.962
KRR1	RPS16	9606.ENSP00000229214	9606.ENSP00000367806	0	0	0	0	0.087	0.976	0.400	0.213	0.988
KRR1	RPS3A	9606.ENSP00000229214	9606.ENSP00000346050	0	0	0	0	0.107	0.989	0.400	0.071	0.994
KRR1	NOL6	9606.ENSP00000229214	9606.ENSP00000297990	0	0	0	0	0.213	0.991	0.540	0.678	0.998
NDUFB10	NDUFS2	9606.ENSP00000268668	9606.ENSP00000356972	0	0	0	0	0.387	0.991	0.967	0.810	0.999
NIP7	RPL23	9606.ENSP00000254940	9606.ENSP00000420311	0	0	0	0	0.164	0.886	0	0.062	0.902
NOL6	RPS12	9606.ENSP00000297990	9606.ENSP00000230050	0	0	0	0	0.125	0.922	0	0.047	0.929
NOL6	RPS16	9606.ENSP00000297990	9606.ENSP00000367806	0	0	0	0	0.056	0.969	0.400	0.423	0.988
NOL6	RPS3A	9606.ENSP00000297990	9606.ENSP00000346050	0	0	0	0	0.104	0.987	0.400	0.116	0.993
PFKM	PKM	9606.ENSP00000496597	9606.ENSP00000320171	0.079	0	0	0	0.565	0.184	0.183	0.804	0.938
PKM	RPL5	9606.ENSP00000320171	9606.ENSP00000359345	0.111	0	0	0	0.517	0.743	0	0.245	0.905
RPL19	RPL41	9606.ENSP00000225430	9606.ENSP00000449026	0	0	0	0	0.346	0.429	0.900	0.434	0.976
RPL19	RPL39L	9606.ENSP00000225430	9606.ENSP00000389356	0	0	0	0	0.824	0.841	0	0.428	0.982
RPL19	RPL26L1	9606.ENSP00000225430	9606.ENSP00000428223	0.115	0	0	0	0.834	0.972	0	0.452	0.997
RPL19	RPS25	9606.ENSP00000225430	9606.ENSP00000435096	0	0	0	0	0.991	0.995	0	0.757	0.999
RPL19	RPS20	9606.ENSP00000225430	9606.ENSP00000429374	0	0	0	0	0.992	0.995	0	0.579	0.999
RPL19	RPL37A	9606.ENSP00000225430	9606.ENSP00000418082	0	0	0	0	0.956	0.994	0	0.721	0.999
RPL19	RPL24	9606.ENSP00000225430	9606.ENSP00000377640	0	0	0	0	0.991	0.995	0.900	0.388	0.999
RPL19	RPL23	9606.ENSP00000225430	9606.ENSP00000420311	0.231	0	0	0	0.991	0.995	0	0.450	0.999
RPL19	RPL5	9606.ENSP00000225430	9606.ENSP00000359345	0.231	0	0	0	0.991	0.994	0	0.667	0.999
RPL19	RPS16	9606.ENSP00000225430	9606.ENSP00000367806	0.052	0	0	0	0.991	0.995	0	0.606	0.999
RPL19	RPS12	9606.ENSP00000225430	9606.ENSP00000230050	0	0	0	0	0.982	0.995	0	0.269	0.999
