#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AACS	CARTPT	9606.ENSP00000324842	9606.ENSP00000296777	0.055	0	0	0	0.247	0	0.217	0.129	0.450
ACVRL1	KCNA5	9606.ENSP00000373574	9606.ENSP00000252321	0	0	0	0	0.048	0	0	0.471	0.474
ACVRL1	VWF	9606.ENSP00000373574	9606.ENSP00000261405	0	0	0	0	0.258	0.067	0	0.228	0.419
ACVRL1	HJV	9606.ENSP00000373574	9606.ENSP00000337014	0	0	0	0	0	0.074	0.540	0.518	0.777
ACVRL1	ENG	9606.ENSP00000373574	9606.ENSP00000362299	0	0	0	0	0.274	0.738	0	0.997	0.999
ACVRL1	BMP2	9606.ENSP00000373574	9606.ENSP00000368104	0	0	0	0	0.086	0.457	0.540	0.678	0.916
ADRA2A	HTR3B	9606.ENSP00000280155	9606.ENSP00000260191	0	0	0	0	0.055	0	0	0.447	0.455
ADRA2A	BDKRB2	9606.ENSP00000280155	9606.ENSP00000450482	0	0	0	0	0.063	0	0	0.552	0.562
AKAIN1	MYOM1	9606.ENSP00000462259	9606.ENSP00000348821	0	0	0	0	0	0	0	0.417	0.416
APBB1IP	PYCARD	9606.ENSP00000365411	9606.ENSP00000247470	0	0	0	0	0.097	0	0	0.372	0.409
APBB1IP	VWF	9606.ENSP00000365411	9606.ENSP00000261405	0	0	0	0	0.088	0	0.400	0.204	0.527
APBB1IP	TRAT1	9606.ENSP00000365411	9606.ENSP00000295756	0	0	0	0	0.115	0	0.360	0	0.409
APBB1IP	RASGRP1	9606.ENSP00000365411	9606.ENSP00000310244	0	0	0	0	0.068	0	0	0.391	0.408
APBB1IP	FGG	9606.ENSP00000365411	9606.ENSP00000336829	0	0	0	0	0	0.048	0.400	0	0.404
APBB1IP	VAV1	9606.ENSP00000365411	9606.ENSP00000472929	0	0	0	0	0.267	0	0	0.362	0.513
APBB1IP	DOCK2	9606.ENSP00000365411	9606.ENSP00000429283	0	0	0	0	0.446	0	0	0.336	0.617
APOC1	C3	9606.ENSP00000465356	9606.ENSP00000245907	0	0	0	0	0.191	0	0	0.325	0.431
APOC1	C1QB	9606.ENSP00000465356	9606.ENSP00000313967	0	0	0	0	0.224	0	0	0.279	0.416
APOC1	FGG	9606.ENSP00000465356	9606.ENSP00000336829	0	0	0	0	0.183	0	0	0.351	0.447
AREG	CCN2	9606.ENSP00000379097	9606.ENSP00000356954	0	0	0	0	0.115	0	0	0.564	0.598
ARHGAP45	VAV1	9606.ENSP00000439601	9606.ENSP00000472929	0	0	0	0	0.259	0.065	0	0.216	0.409
ASIC2	SCNN1G	9606.ENSP00000225823	9606.ENSP00000300061	0	0	0	0.609	0	0	0	0.580	0.580
B4GALNT2	VWF	9606.ENSP00000300404	9606.ENSP00000261405	0	0	0	0	0	0	0	0.725	0.725
BDKRB2	C3	9606.ENSP00000450482	9606.ENSP00000245907	0	0	0	0	0.067	0	0.500	0.139	0.563
BDKRB2	GNA15	9606.ENSP00000450482	9606.ENSP00000262958	0	0	0	0	0	0.115	0.900	0.181	0.921
BDKRB2	KLK1	9606.ENSP00000450482	9606.ENSP00000301420	0	0	0	0	0	0.052	0	0.687	0.690
BDKRB2	PNOC	9606.ENSP00000450482	9606.ENSP00000301908	0	0	0	0	0	0.136	0.500	0.101	0.577
BDKRB2	P2RY2	9606.ENSP00000450482	9606.ENSP00000310305	0	0	0	0.647	0.049	0	0	0.405	0.409
BDKRB2	GPR17	9606.ENSP00000450482	9606.ENSP00000442982	0	0	0	0.673	0	0.050	0.400	0	0.405
BMP2	VWF	9606.ENSP00000368104	9606.ENSP00000261405	0	0	0	0	0	0.071	0	0.619	0.630
BMP2	WNT5A	9606.ENSP00000368104	9606.ENSP00000264634	0	0	0	0	0.074	0.097	0	0.551	0.592
BMP2	WNT7A	9606.ENSP00000368104	9606.ENSP00000285018	0	0	0	0	0	0.097	0	0.374	0.410
BMP2	HJV	9606.ENSP00000368104	9606.ENSP00000337014	0	0	0	0	0	0.968	0.720	0.663	0.996
BMP2	CCN2	9606.ENSP00000368104	9606.ENSP00000356954	0	0	0	0	0.101	0	0	0.839	0.849
BMP2	ENG	9606.ENSP00000368104	9606.ENSP00000362299	0	0	0	0	0	0.292	0	0.803	0.854
BMP2	ODAM	9606.ENSP00000368104	9606.ENSP00000379401	0	0	0	0	0.047	0	0	0.405	0.408
BMP2	CEMP1	9606.ENSP00000368104	9606.ENSP00000457380	0	0	0	0	0	0	0	0.418	0.418
BMP2	DLX5	9606.ENSP00000368104	9606.ENSP00000498116	0	0	0	0	0.062	0	0.750	0.622	0.903
BOD1L2	ZNF479	9606.ENSP00000467843	9606.ENSP00000333776	0	0	0	0	0.055	0	0	0.423	0.432
BRIP1	RAD51AP1	9606.ENSP00000259008	9606.ENSP00000228843	0	0	0	0	0.242	0	0.500	0.121	0.638
BRIP1	RMI1	9606.ENSP00000259008	9606.ENSP00000317039	0	0	0	0	0.099	0.071	0.500	0.489	0.757
