node_0.15,node_0.4,node_0.7,node_0.9
TYROBP,VWF,VWF,CASP1
VWF,TYROBP,CASP1,MYH1
NTNG1,VAV1,DKK4,HCST
AREG,BDKRB2,VAV1,NLRP3
CASP1,BMP2,MYH1,PYCARD
S100A6,CASP1,TYROBP,ACVRL1
WNT5A,C3,BMP2,MYLPF
KCNN4,PYCARD,HCST,MYH8
HSPB2,NLRP3,ENG,BMP2
NLRP3,ENG,MYH4,CARD16
RORC,DKK4,RMI1,NCF2
C3,WNT5A,PYCARD,CYBA
SERPINB3,MYO1F,ACVRL1,TERB2
GRIA2,PNPT1,MYH8,RPL10A
GNA15,MYH1,MYLPF,TERB1
COL5A2,SPRR1B,WNT5A,RPL18A
C1QB,MYLPF,PNPT1,ENG
TGFB1I1,MYH4,RPL10A,TYROBP
MYLPF,NCF2,NCF2,EXOSC7
VAV1,HCST,NLRP3,PNPT1
MUC2,ACVRL1,WNT16,MYH4
MYO1F,KCNA5,WNT7A,VAV1
SLAMF7,DOCK2,CARD16,GNA15
MYH1,APBB1IP,TERB1,BDKRB2
BDKRB2,RAD51AP1,TERB2,CBR1
