"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL524538";"";"None";"3395.74";"None";"None";"8";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCCNC(=O)CC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc2c[nH]cn2)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(C)C";"IC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"2.23";"None";"None";"None";"0";"CHEMBL972348";"Displacement of [125I]GLP1 from human GLP1R expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150266";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"26.0"
"CHEMBL504156";"";"None";"631.61";"2";"6.54";"19";"CC(C)(C)[C@H]1CC[C@H](N(Cc2ccc(C(=O)NC[C@H](O)C(=O)O)cc2)C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1";"IC50";"'='";"4879.0";"nM";"5.31";"";"";"UO_0000065";"8.41";"0.16";"-1.23";"4.46";"0";"CHEMBL977343";"Binding affinity to human cloned GLP1R expressed in BHK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140036";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"4879.0"
"CHEMBL375167";"";"None";"615.62";"2";"7.57";"17";"CC(C)(C)[C@H]1CC[C@H](N(Cc2ccc(C(=O)NCCC(=O)O)cc2)C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL977343";"Binding affinity to human cloned GLP1R expressed in BHK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140036";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";""
"CHEMBL526684";"";"None";"3380.73";"None";"None";"17";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCCNC(=O)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc2c[nH]cn2)[C@H](C)O)[C@H](C)O)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(C)C";"IC50";"'='";"64.0";"nM";"7.19";"";"";"UO_0000065";"2.13";"None";"None";"None";"0";"CHEMBL972348";"Displacement of [125I]GLP1 from human GLP1R expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150266";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"64.0"
"CHEMBL500447";"";"None";"3380.73";"None";"None";"14";"CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc2cnc[nH]2)[C@@H](C)O)[C@@H](C)O)C(C)C)CCC(=O)NCCCC[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(C)C)NC1=O";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"2.31";"None";"None";"None";"0";"CHEMBL972348";"Displacement of [125I]GLP1 from human GLP1R expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150266";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"16.0"
"CHEMBL505224";"";"None";"3361.73";"None";"None";"12";"CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc2c[nH]cn2)[C@@H](C)O)[C@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(C)C";"IC50";"'='";"290.0";"nM";"6.54";"";"";"UO_0000065";"1.94";"None";"None";"None";"0";"CHEMBL972348";"Displacement of [125I]GLP1 from human GLP1R expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150266";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"290.0"
"CHEMBL499133";"";"None";"3322.74";"None";"None";"11";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCCNC(=O)CC[C@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc2c[nH]cn2)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(C)C";"IC50";"'='";"1.9";"nM";"8.72";"";"";"UO_0000065";"2.62";"None";"None";"None";"0";"CHEMBL972348";"Displacement of [125I]GLP1 from human GLP1R expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150266";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"1.9"
"CHEMBL198736";"";"None";"563.62";"2";"6.43";"10";"CC(C)(C)C1CCC(N(Cc2ccc(C(=O)NCCC(=O)O)cc2)C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1";"IC50";"'='";"2536.0";"nM";"5.60";"";"";"UO_0000065";"9.93";"0.19";"-0.83";"5.18";"0";"CHEMBL977343";"Binding affinity to human cloned GLP1R expressed in BHK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140036";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"2536.0"
"CHEMBL507645";"";"None";"3408.78";"None";"None";"18";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCCNC(=O)CCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc2c[nH]cn2)[C@H](C)O)[C@H](C)O)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(C)C";"IC50";"'='";"6.2";"nM";"8.21";"";"";"UO_0000065";"2.41";"None";"None";"None";"0";"CHEMBL972348";"Displacement of [125I]GLP1 from human GLP1R expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150266";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"6.2"
"CHEMBL527077";"";"None";"3394.75";"None";"None";"15";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCC(=O)NCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc2c[nH]cn2)[C@H](C)O)[C@H](C)O)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(C)C";"IC50";"'='";"2.7";"nM";"8.57";"";"";"UO_0000065";"2.52";"None";"None";"None";"0";"CHEMBL972348";"Displacement of [125I]GLP1 from human GLP1R expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150266";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"2.7"
