"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3856134";"";"None";"2429.60";"None";"None";"4";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC(C(=O)NCCC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O";"Ki";"'='";"383000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"383.0"
"CHEMBL3856127";"";"None";"2085.26";"None";"None";"13";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCCCCCC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O";"Ki";"'='";"7000.0";"nM";"5.16";"";"";"UO_0000065";"2.47";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"7.0"
"CHEMBL410765";"";"None";"2504.70";"None";"None";"1";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O";"Ki";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"1.95";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"13.0"
"CHEMBL3856124";"";"None";"2415.58";"None";"None";"6";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC(C(=O)NCCCCC(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O";"Ki";"'='";"106000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"106.0"
"CHEMBL3856133";"";"None";"2479.69";"None";"None";"9";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1cccc(C(=O)N[C@@H](CCSC)C(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CO)C(=O)N2CCC[C@H]2C(N)=O)c1";"Ki";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"2.18";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"4.0"
"CHEMBL3856129";"";"None";"2445.67";"None";"None";"7";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCCC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O";"Ki";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"2.00";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"13.0"
"CHEMBL3856131";"";"None";"2155.39";"None";"None";"15";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCCCCCCCCCCC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O";"Ki";"'='";"6000.0";"nM";"5.22";"";"";"UO_0000065";"2.42";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.0"
"CHEMBL3856136";"";"None";"2479.69";"None";"None";"10";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(C(=O)N[C@@H](CCSC)C(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CO)C(=O)N2CCC[C@H]2C(N)=O)cc1";"Ki";"'='";"2300.0";"nM";"5.64";"";"";"UO_0000065";"2.27";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"2.3"
"CHEMBL3856126";"";"None";"2113.31";"None";"None";"14";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCCCCCCCC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O";"Ki";"'='";"12000.0";"nM";"4.92";"";"";"UO_0000065";"2.33";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"12.0"
"CHEMBL3856128";"";"None";"2459.70";"None";"None";"5";"CSCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)CCCC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(N)=O";"Ki";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"2.03";"None";"None";"None";"0";"CHEMBL696548";"Inhibition of Interleukin-8 (IL-8)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129841";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"10.0"
