#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0	0	0.180	0	0.900	0.884	0.989
ANKRD1	WWTR1	9606.ENSP00000360762	9606.ENSP00000419465	0	0	0	0	0.080	0.091	0	0.448	0.498
APLNR	PRLH	9606.ENSP00000475344	9606.ENSP00000165524	0	0	0	0	0	0	0	0.492	0.491
APLNR	SST	9606.ENSP00000475344	9606.ENSP00000287641	0	0	0	0	0.086	0	0.500	0.122	0.564
APLNR	PNOC	9606.ENSP00000475344	9606.ENSP00000301908	0	0	0	0	0	0.136	0.500	0.199	0.623
APLNR	P2RY14	9606.ENSP00000475344	9606.ENSP00000308361	0	0	0	0.672	0.047	0	0	0.411	0.414
APLNR	GALR2	9606.ENSP00000475344	9606.ENSP00000329684	0	0	0	0.695	0	0	0.500	0.049	0.504
APLNR	AVPR2	9606.ENSP00000475344	9606.ENSP00000496396	0	0	0	0.616	0	0	0	0.478	0.478
ATP6V1G2	DOCK3	9606.ENSP00000302194	9606.ENSP00000266037	0	0	0	0	0.141	0	0	0.337	0.407
ATP6V1G2	JPH3	9606.ENSP00000302194	9606.ENSP00000284262	0	0	0	0	0.182	0	0	0.322	0.422
AVPR2	SST	9606.ENSP00000496396	9606.ENSP00000287641	0	0	0	0	0	0	0	0.402	0.402
AVPR2	TFDP3	9606.ENSP00000496396	9606.ENSP00000385461	0	0	0	0	0.086	0	0	0.372	0.401
B4GALT6	MUC3A	9606.ENSP00000306459	9606.ENSP00000368771	0	0	0	0	0	0	0.400	0	0.400
BAIAP2L2	LMNB1	9606.ENSP00000371085	9606.ENSP00000261366	0	0	0	0	0.067	0	0.400	0	0.416
CABP1	VSNL1	9606.ENSP00000317310	9606.ENSP00000384719	0	0	0	0	0.145	0.102	0	0.295	0.412
CACNA1E	CACNG3	9606.ENSP00000356545	9606.ENSP00000005284	0	0	0	0	0.174	0	0.540	0.251	0.690
CACNG3	GRIA1	9606.ENSP00000005284	9606.ENSP00000428994	0	0	0	0	0.161	0.305	0.720	0.285	0.867
CCK	PRLH	9606.ENSP00000379472	9606.ENSP00000165524	0	0	0	0	0	0	0	0.418	0.418
CCK	LMNB1	9606.ENSP00000379472	9606.ENSP00000261366	0	0	0	0	0	0	0	0.464	0.464
CCK	SST	9606.ENSP00000379472	9606.ENSP00000287641	0	0	0	0	0.188	0	0	0.921	0.933
CCK	PNOC	9606.ENSP00000379472	9606.ENSP00000301908	0	0	0	0	0.047	0	0	0.493	0.496
CCK	TAC1	9606.ENSP00000379472	9606.ENSP00000321106	0	0	0	0	0.141	0	0.400	0.858	0.920
CCK	GAD1	9606.ENSP00000379472	9606.ENSP00000350928	0	0	0	0	0.172	0	0	0.552	0.613
CCK	H3C12	9606.ENSP00000379472	9606.ENSP00000352252	0	0	0	0	0	0	0	0.449	0.449
CCK	CNR1	9606.ENSP00000379472	9606.ENSP00000358513	0	0	0	0	0.109	0	0	0.520	0.554
CCK	PTK7	9606.ENSP00000379472	9606.ENSP00000418754	0	0	0	0	0	0	0	0.923	0.923
CCNB2	PLK2	9606.ENSP00000288207	9606.ENSP00000274289	0	0	0	0	0.359	0.278	0	0.277	0.636
CCNB2	NUP93	9606.ENSP00000288207	9606.ENSP00000310668	0	0	0	0	0.163	0	0.400	0	0.476
CCNB2	E2F2	9606.ENSP00000288207	9606.ENSP00000355249	0	0	0	0	0.151	0	0	0.464	0.525
CCNB2	INCENP	9606.ENSP00000288207	9606.ENSP00000378295	0	0	0	0	0.322	0	0.400	0.286	0.684
CCNB2	PRC1	9606.ENSP00000288207	9606.ENSP00000377793	0	0	0	0	0.824	0.128	0	0.554	0.925
CCNB2	CENPA	9606.ENSP00000288207	9606.ENSP00000336868	0	0	0	0	0.832	0.047	0.400	0.772	0.975
CCT8L2	HSPH1	9606.ENSP00000353048	9606.ENSP00000487365	0	0	0	0	0.391	0.045	0	0.184	0.483
CD38	CD72	9606.ENSP00000226279	9606.ENSP00000259633	0	0	0	0	0.139	0	0	0.432	0.490
